"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR4682",3.99069791359921,1.05002375956737,1.41150812661975,0.743902029159368,0.456935747695437,0.659893450862298
"FAM90A1",53.8619600425476,0.288785326238278,0.388319350992688,0.74367997757525,0.457070105420622,0.660043618042447
"SMG1P5",123.564923517414,0.179177400138927,0.2409828227012,0.74352768438227,0.457162266958357,0.660132834844373
"ATP5PBP1",2.46431105659962,1.39360426973269,1.87541273744333,0.743092036173612,0.457425960849302,0.660268005851887
"ITPRID2-DT",6.41926612598487,0.932305627750425,1.25455094017806,0.743138917593975,0.4573975798528,0.660268005851887
"LSM1",526.783056223171,0.100403345313995,0.135105921842859,0.743145407281059,0.457393651214705,0.660268005851887
"RAB13",2.28811560519007,-1.52020974823686,2.04584495747499,-0.743071825986815,0.457438195963657,0.660268005851887
"TMCO1-AS1",17.7283493566717,0.508391045910614,0.684059490702854,0.74319712367159,0.457362344529949,0.660268005851887
"ZNF225",262.894819492426,0.134466552045347,0.18095731412289,0.743084371566375,0.457430600930557,0.660268005851887
"MIR320D1",4.40559641643747,0.978340650530863,1.31672094633167,0.743012901295812,0.457473869633424,0.660275636882409
"SSPN",123.621042286505,-0.191522438252283,0.257835608211359,-0.742808332723708,0.457597729867992,0.660366678109956
"ZNF385B",22.3492365932293,0.493449361479069,0.664297567537981,0.742813741299536,0.457594454892653,0.660366678109956
"PRELID3BP5",3.22716073312096,1.1182829372236,1.50613027306564,0.742487523969226,0.457792008006871,0.660559302874115
"SERPINE2",2221.34727762461,0.0516834652164764,0.069608251598911,0.742490495441275,0.457790208304769,0.660559302874115
"C22orf39",1978.56353787529,0.0531690439711842,0.0716213931196726,0.742362605015847,0.457867670026544,0.660624608366984
"CHEK2P2",19.985101153661,0.497785733970956,0.67072055660447,0.742165614381944,0.457986999317958,0.660709036527679
"EML1",3273.87887770261,0.0430409229254692,0.0579923944151081,0.742182200951789,0.457976951144071,0.660709036527679
"SFXN5",598.720462460163,-0.0821484536873951,0.11070981508165,-0.742015995842913,0.458077644088518,0.660795932310921
"LNCOC1",22.6056114651984,-0.426926116031023,0.57558045990699,-0.741731427262161,0.45825007465211,0.661000788111769
"H2AZP1",3.20290023999504,1.10419877245223,1.48879090387337,0.741674851437802,0.458284360361665,0.66100636351136
"FAM221B",9.10294403399994,-0.656629026193286,0.885731707716035,-0.7413407699793,0.458486847542407,0.661210639825377
"LINC00366",3.2348449097914,1.10949267364668,1.49653141594284,0.741376132720661,0.458465411767892,0.661210639825377
"WDR62",54.380156628761,0.275660975521082,0.371924843513324,0.741173869745023,0.458588024766593,0.661312661942746
"RPL32P3",842.646999266114,0.0802134348774251,0.108236199057216,0.74109619125689,0.45863511880602,0.66133668435437
"CCDC13-AS2",4.72555111159021,1.01602906687565,1.3711134404801,0.741024802820024,0.458678401774703,0.661345596875528
"MICB",3.83942701616215,1.28158820385925,1.72957234881243,0.740985599555419,0.458702171775557,0.661345596875528
"SNORA66",7.31019173220431,-0.751187496367218,1.01396765460124,-0.740839703276958,0.458790638706116,0.6614292587875
"SLC25A45",19.8806002574759,0.473784604863005,0.639608672649902,0.740741370657331,0.458850269919231,0.661471340481322
"LINC02073",2.25538012450239,-1.41976079381808,1.91695075703237,-0.740634984289329,0.458914790006603,0.661520463848578
"MTRNR2L5",3.12707928115701,1.26270486415226,1.70654673211722,0.73991812845681,0.45934967373212,0.662059502555401
"RASD2",69.0765755657973,-0.25100889286112,0.339220590932587,-0.739957713566401,0.459325653232635,0.662059502555401
"IL34",6.78621736460783,0.740281015091089,1.00128493788388,0.739331020653925,0.459706017120034,0.662529153412563
"C13orf46",38.9879358138681,0.343236234738487,0.464338187177813,0.73919450137115,0.459788899276929,0.662604655285077
"HSPG2",69.2997663977394,-0.267931253986186,0.36255478319785,-0.739009017128241,0.459901521929856,0.66272300351574
"CASP16P",18.65342901341,-0.492077676545011,0.666107414141019,-0.738736224966916,0.460067184409328,0.662917761938348
"ADGRL3-AS1",4.62121632165836,-1.11050478728085,1.50336481795721,-0.738679510133684,0.460101630646856,0.662923435602781
"AGAP12P",37.4208944389764,0.343491169303849,0.465219045946786,0.738342878041024,0.460306116720605,0.663130120680371
"GPC1",6253.09619718648,-0.0479376974235856,0.0649251994171667,-0.738352717495243,0.460300139054812,0.663130120680371
"NSG2",36388.7006726662,0.0363669234694794,0.0492713786792113,0.738094294179421,0.460457150809497,0.66330372778703
"SEMA4B",1101.15547144769,-0.0697518204595655,0.0945092458074508,-0.738042292726311,0.460488749254387,0.663305272293574
"WDR4",406.701011020383,-0.0972960237810775,0.131854393260326,-0.737905058567004,0.460572144786226,0.663381422117189
"CA9",6.09483836963132,-0.883307485179297,1.19726516723422,-0.73777097117075,0.460653636225662,0.663410847133311
"RAD21L1",2.25897413971082,-1.41373481375012,1.91615284960307,-0.737798560299079,0.460636868310291,0.663410847133311
"ZDHHC17",5853.62783336597,-0.051321105021939,0.0695740422317282,-0.73764730890589,0.460728798951317,0.663475119120762
"EEF1DP7",4.31599596631575,1.10561608704566,1.49923265832826,0.737454644483596,0.460845915297906,0.663555820920297
"FANCI",169.165762261538,0.147486028853238,0.19999217064504,0.737459013408111,0.460843259343055,0.663555820920297
"GLS",9300.89393207019,-0.0405507726803872,0.0550038911778378,-0.737234617625124,0.460979685004885,0.663704451064879
"TSPAN19",69.7060338327606,0.271857778765863,0.368877812557145,0.736985986989252,0.461130871063169,0.663878135382734
"GPAT4-AS1",3.9970128973049,-1.09055621075407,1.47994669792208,-0.736888843554482,0.461189949078573,0.663884313935506
"WNT10A",7.95490807641711,0.790664369114602,1.0729915716433,0.73687845273909,0.461196268528531,0.663884313935506
"HNRNPA2B1",25051.9341164575,0.0312384472372858,0.0424032141659463,0.736699984935887,0.461304816008536,0.663996578368408
"CPTP",1102.06019670001,-0.090561036263384,0.12294608205878,-0.736591477718556,0.461370819119078,0.664039646875351
"SLC35E4",525.456522511415,0.097262840978958,0.132051862123683,0.736550317540082,0.461395857541721,0.664039646875351
"GSTM5P1",3.50283729792561,1.19444566605362,1.62233183187805,0.736252376106623,0.461577122915146,0.664098142126835
"LINC00861",12.7711779575778,-0.636507900066642,0.864504757755535,-0.736268822532766,0.46156711599358,0.664098142126835
"LINC02404",2.31981915396252,-1.38708767965482,1.88365004319286,-0.736382899078033,0.461497708805746,0.664098142126835
"PTCHD4",388.048676945035,-0.130460990799316,0.177205746592228,-0.736211964386925,0.461601712170603,0.664098142126835
"SLC24A3-AS1",5.04925000856843,0.963591680617896,1.3085944421484,0.736356238099183,0.461513929528493,0.664098142126835
"STK4",2154.50181596789,0.0578683238909605,0.0786059904881995,0.736182109423935,0.461619878442805,0.664098142126835
"ZNF114",134.750645556405,-0.192237213130583,0.261270150835276,-0.735779470084906,0.461864917105176,0.664406672213067
"AGMAT",84.1488994672135,-0.216639777533922,0.294499986895061,-0.735618971728909,0.461962613599323,0.664499200206526
"PYGO1",2386.18682342574,0.0627492421869002,0.0853065765020886,0.735573325760692,0.461990400732661,0.664499200206526
"COL6A3",18.2547975730005,0.537556925754272,0.731218501056177,0.735152249263142,0.462246776433722,0.664727305319307
"SCARNA6",3.8309274001489,1.06570904194949,1.44970473836227,0.735121444904307,0.462265535023256,0.664727305319307
"TRIM59",23.1160336170609,0.404073140698325,0.54967570105158,0.735111884926505,0.462271356743525,0.664727305319307
"ZNF329",1410.44898117217,-0.0590293254072196,0.0802884309254044,-0.735215830311386,0.462208059529609,0.664727305319307
"RNF130",7594.92765329987,0.0352740547070068,0.0480127434386439,0.734681090491819,0.462533739213048,0.665060588893615
"MIR4477B",114.155851004042,-0.201846926787877,0.274808315918002,-0.734500795995218,0.462643575211045,0.665106798050926
"PBX3-DT",5.75737309781171,0.800264867260165,1.08955271555805,0.734489351302551,0.462650547846314,0.665106798050926
