"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","evidence_codes","intersection"
"query_1",TRUE,0.0376413904729641,2,171,2,0.0116959064327485,1,"CORUM:6989","CORUM","ProTalpha C9 complex",3383,2503,"CORUM,CORUM","PTMA,SET"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:698","CORUM","SIN3-HDAC-SAP30-ARID4 complex",3383,381,"CORUM,CORUM,CORUM","HDAC2,ARID4B,HDAC1"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:835","CORUM","6S methyltransferase and RG-containing Sm proteins complex",3383,477,"CORUM,CORUM,CORUM","SNRPE,SNRPF,SNRPD1"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:614","CORUM","NRD complex (Nucleosome remodeling and deacetylation complex)",3383,336,"CORUM,CORUM,CORUM","CHD4,HDAC2,HDAC1"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:61","CORUM","Mi2/NuRD complex",3383,29,"CORUM,CORUM,CORUM","CHD4,HDAC2,HDAC1"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:570","CORUM","p300-CBP-p270-SWI/SNF complex",3383,322,"CORUM,CORUM,CORUM","SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:596","CORUM","SIN3-HDAC-SAP30-ARID4 complex",3383,331,"CORUM,CORUM,CORUM","HDAC2,ARID4B,HDAC1"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:695","CORUM","SIN3-HDAC-SAP30-ARID4 complex",3383,378,"CORUM,CORUM,CORUM","HDAC2,ARID4B,HDAC1"
"query_1",TRUE,0.0424500703485415,13,171,4,0.0233918128654971,0.307692307692308,"CORUM:1230","CORUM","WINAC complex",3383,697,"CORUM,CORUM,CORUM,CORUM","SMARCE1,SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0424500703485415,7,171,3,0.0175438596491228,0.428571428571429,"CORUM:3063","CORUM","Brg1-associated complex II",3383,1370,"CORUM,CORUM,CORUM","SMARCC1,ARID1A,SMARCA4"
"query_1",TRUE,0.0445589083810467,14,171,4,0.0233918128654971,0.285714285714286,"CORUM:1745","CORUM","SMN complex",3383,813,"CORUM,CORUM,CORUM,CORUM","SNRPN,SNRPE,SNRPF,SNRPD1"
"query_1",TRUE,0.0445589083810467,14,171,4,0.0233918128654971,0.285714285714286,"CORUM:1068","CORUM","12S U11 snRNP",3383,574,"CORUM,CORUM,CORUM,CORUM","SNRPE,SNRPF,SRSF7,SNRPD1"
"query_1",TRUE,1.06971131035743e-77,160,402,72,0.17910447761194,0.45,"GO:0002181","GO:BP","cytoplasmic translation",21017,729,"IDA NAS IC,IC,IDA NAS IC,NAS IC,IDA NAS IC,NAS IC,NAS IC,IDA NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,IDA NAS IC,IBA NAS IC,IBA NAS IC,IDA IBA NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,IBA NAS IC,IDA IC,NAS IC,NAS IC,NAS IC,NAS IC,NAS IC,IDA IC IEA,IDA NAS IC,IC,IDA IBA NAS IC,NAS IC,IMP NAS IC,IDA NAS IC,NAS IC,IDA NAS IC,NAS IC,NAS IC,NAS IC,IDA NAS IC,NAS IC,IDA IBA NAS IC,NAS IC,IBA NAS IC,IDA IBA NAS IC,NAS IC,NAS IC,IDA NAS IC,IDA NAS,IDA NAS IC,NAS IC,IBA IC,NAS IC,NAS IEA,NAS IC,IDA NAS IC,NAS,IBA NAS IC,IBA NAS IC,NAS IEA,NAS IC,IDA NAS IC,IMP IBA,NAS IC,IBA,NAS IC,IDA,IDA,NAS IEA,IDA,IDA","RPS21,RPS27,RPS23,RPL23,RPL13A,RPS11,RPL34,RPS6,RPL37A,RPL27A,RPL28,RPS20,RPS29,RPL9,RPL35A,RPL6,RPS9,RPL5,RPL23A,RPS15A,RPS8,RPL29,RPL36A,RPS13,RPL21,RPS19,RPS25,RPS17,RPL39,RPL11,RPL3,RPL31,RPS12,RPS14,RPL18A,RPL7,RPL30,RPL37,RPL13,RPS27A,RPL18,RPL7A,RPL24,RPS3,RPL15,RPL36,RPL4,RPS3A,RPL32,RPL41,RPL38,RPS16,RPL22,RPL12,EIF3E,RPS2,RPS28,RACK1,RPLP0,RPL17,RPLP2,RPS7,RPL19,EIF2S2,RPL35,EIF5,RPL14,HNRNPU,CSDE1,EIF3K,HNRNPD,RBM4"
