"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1264",12.4580755286957,-1.7978131143681,0.333257101778416,-5.39467307605487,6.86484278807386e-08,3.20725455058811e-06
"hsa-miR-450a-5p",72.1970125150502,3.26357073556734,0.607799916087045,5.36948204365983,7.89630982509988e-08,3.5472653368141e-06
"hsa-miR-509-3-5p",68.1027049315774,1.2371690999952,0.231590596690041,5.34205238760629,9.19000855111609e-08,3.97552962507541e-06
"hsa-miR-542-3p",21.5727909874961,2.7235657830015,0.514772305584267,5.29081645118855,1.21771527946115e-07,5.07961230860937e-06
"hsa-miR-2682-5p",164.563294988275,-1.01634719316284,0.194183512786772,-5.23395204143242,1.65923520722994e-07,6.68271283463644e-06
"hsa-miR-29b-3p",35.713432582729,0.963302053505408,0.184314757089995,5.22639678295024,1.72845235259638e-07,6.7294411594419e-06
"hsa-miR-708-5p",5465.83594787913,-0.598150614082027,0.115000168030502,-5.20130208786632,1.97897134690368e-07,7.45625333285e-06
"hsa-miR-215-5p",60.0077662993605,3.38836926423525,0.652439395072873,5.19338545437894,2.06504016085109e-07,7.53739658710648e-06
"hsa-miR-335-5p",1525.33688004294,0.559416525960114,0.108062732002669,5.17677570789433,2.25753342725882e-07,7.99030013041908e-06
"hsa-miR-4634",49.134830125318,1.8916439682535,0.366499061799616,5.16138829650745,2.45125140485408e-07,8.42076953196932e-06
"hsa-miR-3929",21.1327492230542,1.07872362895716,0.210646975245237,5.1210022251746,3.03916059931665e-07,1.01421130857196e-05
"hsa-miR-195-3p",12.9289172952402,-1.65576652969361,0.324596109955775,-5.10100546158485,3.37853812121778e-07,1.09614792377288e-05
"hsa-miR-296-3p",130.306283160504,1.40034182285191,0.27591918702019,5.07518827514319,3.87112503934981e-07,1.22202001242178e-05
"hsa-miR-21-5p",23020.1581845417,1.06871752541223,0.211433770817754,5.05462075088005,4.31246844291345e-07,1.32551661613761e-05
"hsa-miR-143-5p",7.45593442697827,5.56992909973081,1.1121837338118,5.00810156667272,5.4969527003584e-07,1.64626686000477e-05
"hsa-miR-483-3p",31.2222828900681,4.82165938636485,0.96496150111763,4.9967375701314,5.8308331371576e-07,1.70260327605002e-05
"hsa-miR-877-5p",57.2358525701329,0.759536227884767,0.154201314669265,4.92561447685344,8.40956587563078e-07,2.39570071774067e-05
"hsa-miR-145-5p",26.0647279872099,4.37906869826238,0.906165343100935,4.8325272331394,1.34810663589081e-06,3.74902035885825e-05
"hsa-miR-148a-3p",83391.2729830041,1.23403570329089,0.255954679889974,4.82130548978966,1.42621746399846e-06,3.78595908625046e-05
"hsa-miR-212-5p",198.241977141668,-0.75014040433565,0.155554989348684,-4.82234872360265,1.41877622612913e-06,3.78595908625046e-05
"hsa-miR-450b-5p",36.2263660650918,2.49496602457221,0.525167360802727,4.75080176490521,2.02611685889187e-06,5.25889886930157e-05
"hsa-miR-514a-3p",228.575701317111,1.12822071231969,0.238316344483696,4.7341306563087,2.1999598214947e-06,5.5859849380561e-05
"hsa-miR-133a-5p",28.0433827417141,5.3640052915924,1.14056213323299,4.70294877876387,2.56430767414284e-06,6.32825292339473e-05
"hsa-miR-1268a",11.3174073683879,-1.32647633750968,0.282224468016419,-4.7000756058915,2.6006518863266e-06,6.32825292339473e-05
"hsa-miR-1268b",12.4315788617722,-1.29878240770549,0.278124839506934,-4.66978213815061,3.01519330336823e-06,7.18723628231446e-05
