"gene","module"
"MECP2","black"
"MED29","black"
"MED31","black"
"METTL22","black"
"METTL2A","black"
"METTL2B","black"
"METTL6","black"
"MFF-DT","black"
"MIB2","black"
"MICALL2","black"
"MICOS10","black"
"MIF-AS1","black"
"MIIP","black"
"MINDY2","black"
"MIPEPP3","black"
"MIR1244-2","black"
"MIR149","black"
"MIR193BHG","black"
"MIR3677HG","black"
"MKX","black"
"MLST8","black"
"MOCS2","black"
"MOK","black"
"MORC2-AS1","black"
"MORN2","black"
"MOSPD3","black"
"MPC1-DT","black"
"MPHOSPH6","black"
"MPHOSPH8","black"
"MREG","black"
"MRFAP1L1","black"
"MRNIP","black"
"MRPL1","black"
"MRPL12","black"
"MRPL52","black"
"MRPL54","black"
"MRPL57","black"
"MRPS14","black"
"MRPS16","black"
"MRPS18C","black"
"MRPS21","black"
"MRPS23","black"
"MRPS25","black"
"MRPS34","black"
"MSANTD2","black"
"MSRB2","black"
"MSTO2P","black"
"MT2A","black"
"MTFR1L","black"
"MTHFD2L","black"
"MTRF1L","black"
"MTUS1","black"
"MTX2","black"
"NAA10","black"
"NAA20","black"
"NALF1","black"
"NAPG","black"
"NAXD","black"
"NDUFA12","black"
"NDUFA3","black"
"NDUFA5","black"
"NDUFA9","black"
"NDUFAF6","black"
"NDUFAF8","black"
"NDUFB2","black"
"NDUFB3","black"
"NDUFB7","black"
"NDUFS3","black"
"NDUFS6","black"
"NDUFS7","black"
"NDUFS8","black"
"NEDD8","black"
"NEMF","black"
"NKAPP1","black"
"NKIRAS1","black"
"NKIRAS2","black"
"NLN","black"
"NNAT","black"
"NOP56","black"
"NOPCHAP1","black"
"NOS2","black"
"NOVA1","black"
"NOVA1-DT","black"
"NPIPB10P","black"
"NQO1-DT","black"
"NR6A1","black"
"NRG1","black"
"NRG4","black"
"NRGN","black"
"NRIP3-DT","black"
"NTPCR","black"
"NUDT14","black"
"NUDT21","black"
"NUSAP1","black"
"NUTF2","black"
"NUTM2B-AS1","black"
"OAZ1","black"
"OAZ2","black"
"OMG","black"
"OPA3","black"
"OPTN","black"
"OR2T8","black"
"OSBPL6","black"
"OTUD5","black"
"OTUD6B-AS1","black"
"PAAF1","black"
"PACS2","black"
"PAICSP1","black"
"PAIP2","black"
"PANK2","black"
"PARK7","black"
"PARP8","black"
"PBX3","black"
"PCED1A","black"
"PCP4L1","black"
"PDCD2","black"
"PDE4B","black"
"PELO","black"
"PEX11A","black"
"PEX11B","black"
"PFN2","black"
"PGAM1P8","black"
"PGBD5","black"
"PGP","black"
"PHETA1","black"
"PHLDA3","black"
"PHYHIPL","black"
"PIGX","black"
"PIN4","black"
"PITHD1","black"
"PITPNA","black"
"PLCL1","black"
"PLCXD3","black"
"PLEKHB2","black"
"PMM1","black"
"PMS2","black"
"PNMA8A","black"
"POLR2E","black"
"POLR2F","black"
"POLR2I","black"
"POLR2K","black"
"POLR2M","black"
"POLR3F","black"
"POMZP3","black"
"POT1-AS1","black"
"POU2F1","black"
"PPARGC1A","black"
"PPIL1","black"
"PPM1B","black"
"PPM1B-DT","black"
"PPP1R11","black"
"PPP1R14D","black"
"PPP1R16A","black"
"PPP1R3E","black"
"PRDM11","black"
"PRDX5","black"
"PRELID1","black"
"PRKAR2A","black"
"PRMT8","black"
"PRR29","black"
"PRR34-AS1","black"
"PRR35","black"
"PSMA3-AS1","black"
"PSMD9","black"
"PTGER3","black"
"PTGES2","black"
"PTMAP2","black"
"PTOV1-AS1","black"
"PTP4A2","black"
"PTPRD-DT","black"
"PTPRT-DT","black"
"PTRHD1","black"
"PXK","black"
"PYM1","black"
"R3HDM2","black"
"RAB11B","black"
"RAB18","black"
"RAB2B","black"
"RAB33B-AS1","black"
"RAB36","black"
"RAB9B","black"
"RABGAP1L-DT","black"
"RABL2B","black"
"RAD9A","black"
"RAI2","black"
"RAMAC","black"
"RAPGEF5","black"
"RASGEF1B","black"
"RASL11A","black"
"RBM22P2","black"
"RBM3","black"
"RBM34","black"
"RBMX2","black"
"RCAN2","black"
"RCHY1","black"
"REM2","black"
"REX1BD","black"
"RFLNB","black"
"RHOQP3","black"
"RILPL1","black"
"RNASE2","black"
"RNASEH1","black"
"RNF115","black"
"RNF2","black"
"RNF213-AS1","black"
"RNF5P1","black"
"RPAP2","black"
"RPH3A","black"
"RPL21P10","black"
"RPL23AP24","black"
"RPL23AP49","black"
"RPL32P3","black"
"RPL7P22","black"
"RPS12P3","black"
"RPS19BP1","black"
"RPS27AP6","black"
"RRN3P3","black"
"RRP36","black"
"RRP7A","black"
"RSPH9","black"
"RTL8C","black"
"RTL9","black"
"RUFY3","black"
"RYR3","black"
"SAMD12","black"
"SAP18","black"
"SATL1","black"
"SBDS","black"
"SBDSP1","black"
"SBK1","black"
"SCAMP1-AS1","black"
"SCNM1","black"
"SCOC-AS1","black"
"SEC22B4P","black"
"SELENOW","black"
"SENP5","black"
"SEPTIN6","black"
"SEPTIN7P14","black"
"SERTAD4","black"
"SETBP1-DT","black"
"SETD4","black"
"SFMBT2","black"
"SGTB","black"
"SH3BGRL2","black"
"SH3GLB1","black"
"SH3RF1","black"
"SHARPIN","black"
"SHC4","black"
"SHFL","black"
"SHH","black"
"SHISA6","black"
"SIGLEC1","black"
"SIK3","black"
"SIRT2","black"
"SIRT3","black"
"SKA2","black"
"SKP1","black"
"SLC12A2-DT","black"
"SLC15A2","black"
"SLC25A25-AS1","black"
"SLC25A51","black"
"SLC35E2B","black"
"SLC48A1","black"
"SLC51A","black"
"SLC5A11","black"
"SLFNL1","black"
"SLX4IP","black"
"SMDT1","black"
"SMIM10L1","black"
"SMIM15","black"
"SMIM17","black"
"SMIM27","black"
"SNAI3-AS1","black"
"SNAPC5","black"
"SNHG10","black"
"SNHG30","black"
"SNRPD3","black"
"SNX30","black"
"SOCS2-AS1","black"
"SOD1","black"
"SPATA33","black"
"SPATA9","black"
"SPDYE18","black"
"SPEF1","black"
"SPIN2B","black"
