"","004_Veh_1","004_Veh_2","006_Veh_1","006_Veh_2","007_Veh_1","007_Veh_2","008_Veh_1","008_Veh_2","C19_Veh_1","C19_Veh_2","22q001_Veh_1","22q001_Veh_2","22q002_Veh_1","22q002_Veh_2","22q003_Veh_1","22q003_Veh_2","22q005_Veh_1","22q005_Veh_2","1F3_Veh_1","1F3_Veh_2"
"ACTA1",6.4802773880553,6.21054093439767,6.7699806196473,6.95987866573341,6.09210949942866,5.66541926901603,4.75542602561085,4.95058343638735,4.7693221073915,5.45472768316271,3.7252101089536,1.86157213442221,11.284967302947,11.3339216839815,9.59068281743222,9.64678436465365,5.44865156634631,5.09187191647147,9.50266944400663,9.45635459725239
"ACTA2",5.34175731713033,5.16667652224018,5.83316605463636,6.20919528499088,6.23369810624159,6.22682832239943,6.72680413522567,6.07200814708876,6.86926113077501,6.54961206633356,5.91589945599847,6.18920930820318,8.70477082840857,8.76059089126901,7.65664224868353,7.23248102270245,5.00776085925828,6.29903273773457,8.50777515400797,8.10981261068182
"ACTC1",5.8206256577235,6.64056445239718,4.05961181012399,4.65940274117378,4.94942543661061,5.53461354335036,4.46873782140818,5.42907197395063,3.92395158073012,3.09822052092728,3.7252101089536,4.19038085985497,13.541952783809,13.5314040268126,11.8353058439787,11.8223664836971,4.94905899530424,3.10394180280492,11.0462271706197,11.1098010911017
"ACTG2",3.26775956974976,3.82245457686131,3.32640663994553,1.86157213442221,3.3147488418031,2.95450546723471,3.74681550138637,3.84565444469863,4.41153332609551,3.09822052092728,3.9727979075148,4.19038085985497,9.89682608174427,9.96942116395076,4.99632451786439,4.88851882047061,1.86157213442221,4.38999383179492,7.45091575478386,7.2380175385216
"ACTN2",8.49244831030277,8.65625042861347,10.1252761887889,9.96787471040028,9.23038597711085,9.21824129855479,8.53215872631399,8.24901609841117,7.85244833588514,7.76285032776543,7.49126126663113,7.64713775367106,11.4008750090464,11.4578062280824,10.9642622320876,11.0217056362204,9.04639398415394,8.8499916593043,9.38740136775352,9.41102979893499
"ACTRT3",3.26775956974976,3.19808177902252,3.48375276061893,4.39570036609216,3.8447798442035,3.80516031746851,1.86157213442221,3.51953307962705,4.41153332609551,4.16029012081877,3.7252101089536,3.11662558371532,2.60862837482154,2.90111450799947,2.47164899346121,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,2.46219854850067
"ADAM12",7.0474121959647,6.39441217755424,6.15655532012678,5.92047862350131,7.24339236087144,6.32870644004232,6.37977770626709,6.53525500255566,6.7565018567209,6.25962717611994,6.73933294008858,6.81457104662489,8.27903568557407,8.32166321811102,8.02513004603975,7.74980257534458,6.26138432817148,6.35070828323662,7.75550537905649,8.26773412948204
"ADAMTS1",8.4234991024711,8.0317075313916,7.89304094540114,8.09687008345867,8.18931739472218,8.15483288693902,7.55525116624279,7.24479025924667,7.67781364016674,8.0289544714172,7.21539096414555,7.8066267607545,10.0872512963641,10.2085517282966,8.16764927995148,8.12605378432806,8.07946031986672,7.77651516087626,9.27452871660726,8.93951240999327
"ADAMTS12",6.55391855333348,6.41346232285421,6.5828646559089,6.82219065571596,7.12398594673035,7.45624255159087,7.31752487694523,7.51139911639995,7.2760018563866,7.06011017234577,8.20887872098683,8.12687079563621,7.94163259328116,7.80348878123267,7.68929193602372,8.03492139672975,6.69121774246898,6.0402847120598,7.16772675211689,6.99931360439875
"ADAMTS14",3.0906411623861,4.04555170078988,4.52433913972675,4.53387326011404,4.36892002290067,4.30173181492375,1.86157213442221,3.06437457072739,4.60200186130715,3.09822052092728,2.98530713906366,4.68865535553593,6.03022113141506,6.53627783995627,5.47794081487155,5.45992529558722,4.26597342550583,3.5714863399811,5.00247648766928,5.41765264188137
"ADAMTS15",8.63140994526511,9.02416783024721,8.76344640821418,8.61526371759661,8.87138915905963,8.98592569264161,8.57781046196903,8.76160050245137,9.79001700486719,9.50502041749542,9.43541742874087,9.66877467441254,9.53156625698386,9.75265199953213,9.07732009623797,8.91846090580399,8.96102385468384,8.77174809553152,9.58843176034181,9.89342702987416
"ADAMTS16",6.55391855333348,6.21054093439767,6.87410009150073,6.93580391246763,6.67757443932213,6.44212969668478,5.19610418474747,4.74652777827346,5.66990098594502,6.36292748789173,6.30333699231679,6.42916341796112,7.82916523517104,7.68761610737039,6.98354915028836,7.01910611664096,6.90460046868557,6.99457796881032,7.45091575478386,7.73882748566961
"ADAMTS19-AS1",4.91511190446251,4.04555170078988,5.26835701385695,4.93104398887909,4.04360767711846,4.52987042514903,2.99941009711087,4.95058343638735,1.86157213442221,4.47784785996861,3.41509990436309,3.11662558371532,2.60862837482154,1.86157213442221,2.71815639974118,1.86157213442221,3.79840333882671,4.28433199946083,2.90604252284355,2.88765331047169
"ADAMTS4",8.46602495586443,8.59926006945567,8.87420958150407,8.85539683706661,7.952943924012,8.27177261362258,7.47063108972708,7.59366877522046,6.73681907947925,6.28615693036494,7.61590218990833,7.537683161313,5.48659636137938,4.8813380188298,6.67410875077279,6.69097623469137,7.55612482946375,7.56349423039932,5.97178416198958,6.01290643693769
"ADAMTS5",7.52817078992323,7.47538749113441,7.50458931562245,7.22117563915451,7.06035430682474,7.07814719940825,7.48028238154348,7.56336516343501,6.27315756343142,6.23259812760792,7.1812061567059,7.07190607364689,8.65035347672504,8.60323128581302,8.03241887005195,7.64583234579422,7.83741801657809,6.62693192869918,7.78183445408961,7.8746860711622
"ADAMTSL1",8.9771084001212,8.7187391055045,8.5286194824793,8.7524231446825,9.0180719648873,9.0438731465186,8.08433955318631,7.81557892940253,8.67832687261539,8.68013531171613,10.6058177526997,10.3969458436355,9.98315602076684,10.0439989882438,8.85696357168392,8.87314530707979,8.4522364236139,8.08898891177055,10.2614065889056,10.3978827374347
"ADAMTSL2",7.06765061767062,7.20757524299229,6.86148954795081,7.5252595223621,6.95930459064635,6.9045008039907,8.604523695585,8.61176251477782,10.1840660220715,10.189660696057,7.09813871309293,6.73740289227141,6.30086715973993,6.25800811637521,6.90625474933251,7.34429006032151,7.55612482946375,6.99457796881032,5.06168115463788,5.43921347646831
"ADCK2",9.7095338951054,9.66129432150454,9.58895197091291,9.48868021058501,9.56611043790718,9.43205253711779,9.41113006853425,9.33406449690422,10.1095830581321,10.046028100859,8.58930058608088,8.63710853178192,6.73178853860643,6.28565307349139,8.33614390730992,8.05438804470801,8.7396673510964,9.09269715253627,7.2580489745908,7.26225466619996
"ADCY7",7.5426972126415,7.4200260012644,7.83621350638131,8.14488082728166,8.42217094336257,8.56630645245057,7.78285461642321,7.21909628236115,7.89742667178499,8.35079101438371,7.08587108611725,6.42916341796112,5.95084161876791,5.90064049820827,6.57764466634625,6.46494685069272,7.52670708558966,7.21942813471048,6.08920032157803,6.38874987911547
"ADGRF5",1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,2.95450546723471,1.86157213442221,1.86157213442221,3.11636969459678,3.89670317987127,2.98530713906366,1.86157213442221,4.96611260062183,4.38668615309834,3.7600929031541,3.74496963279761,1.86157213442221,1.86157213442221,3.51302525690774,4.27549174146441
"ADPRHL1",5.52967130192551,5.94820676418025,5.83316605463636,5.19987667844913,5.98167212862969,5.27207850566062,6.10767658133788,5.07178832939596,6.00303948247676,6.93175259666226,5.67417155334671,5.49313146452443,8.05949623202959,7.97145729204039,7.5336017572666,7.33157746650568,5.68122368545511,5.64350789167709,6.96041699418886,6.92532906211186
"ADRA1B",7.02688537998806,6.94527313815805,7.17853241331573,6.36173630751756,7.2623657172279,7.19049882719095,7.82889999009938,7.53241085581622,8.84829485878711,8.77197198318639,6.04857225704082,6.15989393825592,4.73883649069445,5.14806057200018,7.02800996835736,6.66078038448043,6.9347930326569,6.68842845176862,5.03239008579967,4.6220075424759
"ADRA2A",11.1670144810747,11.2757908104305,11.3975281552256,11.4434825580227,11.0099200728544,11.0544079069916,11.1699687726536,11.3338846960848,11.5923321733324,11.3920225615371,9.3224010933141,9.36357788180674,6.86737536963952,7.00903446409057,8.8974382780775,9.05032813249291,11.5602136871046,11.6384737306298,7.4177145380678,7.14982557386527
"ADRB1",4.49534211215218,4.32200057132343,5.3433747452728,5.15848079420492,5.58769023745483,4.59817791753385,3.87775238212041,4.41727477372885,4.41153332609551,4.81148946216016,2.98530713906366,3.92433513697872,3.39139425964253,4.11609006046597,1.86157213442221,3.10070212037968,3.79840333882671,4.57950262671659,3.30959591167805,3.03860242062525
"ADTRP",5.04483184291085,4.91981247610572,6.33156158363553,5.8185198735916,4.04360767711846,4.30173181492375,5.70701051080458,5.2360499009024,3.58776197518538,3.74145369166127,3.41509990436309,3.58809687424536,2.90689580647874,3.12199852420553,3.5090326432312,2.75080785178246,5.44865156634631,4.74605306469801,1.86157213442221,2.70506832160776
"AFAP1L1",4.86906227909469,5.45278907639806,4.14913775012395,4.97956760114668,3.3147488418031,4.59817791753385,5.19610418474747,3.69337762747824,5.2900357782525,5.63130271217977,6.30333699231679,4.84647490912287,9.25045409547075,9.27582566922321,8.7237490657276,8.70599008842398,4.686012743572,5.41884452174765,6.17135604693227,6.74780230182336
"AGA-DT",2.58521987078089,2.65120338713563,2.91863216150082,2.62055247969048,3.8447798442035,4.72542154211787,3.23865653787697,2.72402918330773,3.92395158073012,3.74145369166127,4.27330052300768,4.76980014081621,4.46694982685955,3.01792006889963,5.52029282809958,4.92331364976141,3.03322523226634,3.90530230775564,4.09644007955176,4.3239498151106
"AGGF1P2",1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,4.38663075007015,1.86157213442221,3.11636969459678,3.09822052092728,5.57182657694017,5.39544920884605,3.22369408340221,3.71797483403803,4.20349958130088,3.10070212037968,3.79840333882671,4.04414638593932,3.05942929436852,3.28500520967277
"AGPAT2",7.95474769915336,7.72418714804035,7.67991509348397,7.80308697539673,7.41428606929592,7.3634349781819,7.59132249718433,6.71157483401755,8.5490054046188,8.21958399228554,7.94265752863215,7.88914865571189,8.86133727951288,8.72912350940562,7.85878856093902,7.67127573572286,7.89226428710045,7.66886369735763,8.0399367919408,7.71707870153086
"AGTR2",3.55404513281491,2.65120338713563,3.85972039955905,3.33254814535126,1.86157213442221,1.86157213442221,3.43378687921144,1.86157213442221,1.86157213442221,3.09822052092728,1.86157213442221,1.86157213442221,4.96611260062183,4.55143224438373,5.1397834029368,5.38757970847109,1.86157213442221,1.86157213442221,3.05942929436852,3.03860242062525
"AGTRAP",7.8181480400784,8.32073316311855,7.93574196771,8.44675445196517,8.19426388323256,7.77723198801868,7.95190241645179,7.52194326816182,8.49150097586543,8.18482851330621,9.18260515707034,8.65817634421593,8.64317994801426,8.43481561849987,8.51848109282896,8.37238501926278,8.36629818461702,7.98674021461003,8.95987695727277,8.84643891287747
"AHNAK",11.6490440056457,11.5765881136799,10.7825616226202,10.7557982052705,11.3974810867058,11.4067805696657,10.411025553891,10.1019092514954,9.68876756210201,9.96846703069471,11.7727232642168,11.5128227923584,12.9716668837725,13.0619638204137,12.1222292511997,12.1400200807383,11.3690998649334,11.4533180507077,12.6750193034495,12.7893850117527
"AJUBA",8.41168018685677,8.37024044827366,7.9888484188344,8.10228422189673,8.32629620397182,8.07515561868662,8.43131223168161,8.52009336962222,7.60374578692856,7.29995192645802,8.28593041524338,8.43222044817098,8.8535889550677,9.06383860602184,8.81108913121429,8.83538914401616,8.96468365879749,9.01890339928371,9.51449051282251,9.68635370324455
"AJUBA-DT",3.67461448710858,3.38836742604711,3.32640663994553,3.75421263746753,2.90989998402738,3.18543597593119,3.43378687921144,4.67128210951736,1.86157213442221,3.09822052092728,4.96298192065895,3.92433513697872,4.03809245316741,3.21636856556269,2.90336401116473,3.65933464344961,4.16373990923742,2.75319896837692,4.45401065781027,4.76721327979779
"AK7",5.91328690703403,5.65920192513183,6.34975314123047,6.44945545513255,6.04894976200025,6.49565280000734,5.49367137937642,5.5165670178966,6.09884112126184,4.88372670280201,6.12265656019226,7.27659821630388,6.23544911830232,6.44937210734117,6.46348285581742,5.50618977841015,5.44865156634631,5.87341106646909,7.2328151149737,6.74780230182336
"AKAP1-DT",4.14786047181978,3.38836742604711,4.23300029841208,4.59806580503646,4.13268652235504,4.84198007472503,4.68913326815679,5.18338911429761,4.91866923199599,4.38005243543913,5.88782425985838,5.90092683265038,4.71113626615965,4.07252483829959,3.30601675883791,4.88851882047061,5.00776085925828,4.48802554404552,5.06168115463788,5.07532277549517
"AKAP4",1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,3.72746137325472,3.59512679545835,3.41203763338023,3.10070212037968,1.86157213442221,1.86157213442221,3.51302525690774,4.17298814396744
"ALDH1A3",1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,2.64340363334971,1.86157213442221,2.72402918330773,1.86157213442221,1.86157213442221,2.66595318552612,3.58809687424536,4.6245523755555,4.75325194757955,4.53531821734857,4.03904351983407,1.86157213442221,3.90530230775564,1.86157213442221,3.57415376587217
"ALDH1L1",6.87437174568415,6.85069254899946,8.76005635028185,8.30370098660689,7.70516366893598,7.9970080475537,7.05869440306322,7.20607542234906,6.63415286599116,6.02764178044524,6.46381013417394,6.86984844669539,6.46473856930908,6.25800811637521,4.93457854785375,5.17442759255615,6.16263323684762,5.64350789167709,5.87694406160994,4.96006915501144
"ALG10B",9.30982996448502,9.23124966366423,7.30494799557526,6.68445564350689,6.38007179382165,6.78068894947448,8.98941025299177,8.80540315252517,9.7464384054542,9.53568179460431,9.54246414249947,9.34420981939851,8.52326875814341,8.79618937072331,9.29896984782028,9.34242748364193,9.24002949915413,9.2160050068083,9.38167581574799,9.48879603315292
"ALOX12B",5.04483184291085,5.45278907639806,6.17708761106454,4.97956760114668,4.63097835252075,4.0268478231457,4.29923765811615,4.74652777827346,6.09884112126184,5.63130271217977,4.59152291639038,3.58809687424536,3.22369408340221,2.60441198318544,3.96891110163917,3.74496963279761,3.47848805030467,5.31800777702114,3.51302525690774,3.48558256695104
"ALPK2",1.86157213442221,3.19808177902252,4.38647104759068,3.49043785457565,3.3147488418031,3.53574072195886,3.99648964568891,1.86157213442221,3.11636969459678,1.86157213442221,3.2219551540274,5.29055455393139,7.4186704573882,7.53119489323215,6.86599400429664,6.98702932773209,1.86157213442221,1.86157213442221,6.2236250605095,6.10981024571629
"ALPK3",6.72941406427418,6.48723457307952,6.50387846403804,6.51597009914331,6.17471885097827,5.72658567233773,6.42050889770698,6.81815952434012,7.35554349275895,6.86301229600734,7.02291522260107,6.37919612592303,7.71061441207612,7.69449430061217,7.85468236815037,8.1479646822843,7.59443736166452,7.1336516441002,6.15798590920167,5.82983024429191
"ALX1",1.86157213442221,2.96516589599035,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,3.84565444469863,1.86157213442221,1.86157213442221,4.51864410870397,1.86157213442221,4.79263487086535,4.77982750812465,4.83653983010565,4.88851882047061,1.86157213442221,3.10394180280492,4.20868569117484,2.70506832160776
"ALX4",3.41985288955845,4.40279492244216,4.52433913972675,4.82864507766094,3.3147488418031,3.67783828327156,4.20578015978969,3.69337762747824,3.92395158073012,4.16029012081877,3.7252101089536,2.76256528374196,5.2212559611398,6.02627255394821,5.31891362167929,5.48324544518202,4.26597342550583,3.90530230775564,4.69992310796319,4.86696307437328
"AMPD1",1.86157213442221,1.86157213442221,2.91863216150082,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,4.6245523755555,4.45498583769088,6.33946852370695,6.04878851954496,1.86157213442221,1.86157213442221,4.20868569117484,3.57415376587217
"ANGPT1",6.89717344464353,6.74945951453388,7.2382587675945,6.91131985476679,7.48866815713385,7.23309607915212,6.37977770626709,5.55837809865904,6.59094358216578,6.63458910682263,7.72272143662197,7.58246703646135,7.40176089663211,7.360044734921,7.19977446417412,6.89494663152508,7.23083696612555,7.32638958176092,8.74924447727891,8.69449791913419
"ANGPT2",4.7721452777364,5.55972807242733,5.48247780591047,4.77448665462784,5.24770399506817,4.72542154211787,7.04574839296056,7.20607542234906,5.34344807384909,3.89670317987127,6.51965162693274,6.5010016285903,5.89132276763808,5.47241824505348,6.55755067005118,6.59841851899524,5.64500070440555,5.41884452174765,6.47060191706547,6.24998414157203
"ANGPTL7",3.26775956974976,1.86157213442221,3.96352338652661,3.14830248930494,4.63097835252075,4.21625877286451,3.6004586457961,3.06437457072739,4.3052959435192,3.56398685329445,3.7252101089536,4.41197602682689,4.43313226834273,5.10696952161492,4.69409369071716,4.38436648442556,5.00776085925828,3.10394180280492,4.69992310796319,4.3239498151106
"ANKRD1",4.95969636878001,6.1436186265531,5.10523241659675,4.24186526562923,4.63097835252075,4.12494195878435,5.24262947789764,5.75081821661201,5.05362116743015,5.86093943214616,4.96298192065895,5.23504752219319,9.12218463620827,9.16260743605576,6.4084352419304,6.52207261464283,5.75102536477217,6.49544243173404,6.68130783846039,7.54010445525068
"ANKRD18B",2.87477569532525,3.38836742604711,6.89899462086271,5.679917156264,6.04894976200025,6.51306008695659,3.43378687921144,3.06437457072739,5.44459976868408,5.14038721049737,5.64086540737895,5.3439703930275,6.04121057792308,6.3568732033084,6.89829214922611,6.87755284023743,6.41937578885547,5.83756962966346,6.67194396763528,6.92532906211186
"ANKRD20A5P",1.86157213442221,1.86157213442221,4.38647104759068,2.92323531656931,2.90989998402738,4.52987042514903,1.86157213442221,2.72402918330773,1.86157213442221,2.74897658926103,5.67417155334671,6.12996729020837,4.79263487086535,5.38949605682123,5.36619443402608,5.9012985092943,3.9319748168391,1.86157213442221,5.09037565194671,4.86696307437328
"ANKRD30B",1.86157213442221,1.86157213442221,4.23300029841208,3.33254814535126,2.61081991024498,3.18543597593119,1.86157213442221,1.86157213442221,1.86157213442221,1.86157213442221,5.21150755348019,4.60246417432999,4.6245523755555,4.1991405691494,5.54100582820976,6.04878851954496,4.61166897849242,4.89476800251528,5.14607078447148,5.01887588175496
"ANKRD35",5.84435934799171,6.25348327949542,6.27556265626184,6.18893597538336,5.75850985787143,5.42797462975471,5.77158330307356,5.55837809865904,7.16261914015665,7.54990162993121,5.29984662635936,5.29055455393139,4.12701645629907,3.93238471344846,4.57675795859662,5.31135256071657,5.84972663683991,5.2647693621414,4.09644007955176,3.80657858468221
"ANKRD36B",8.7980410940303,8.67607049762512,8.5286194824793,8.51329011077971,8.32178310475779,8.31205023986666,10.1980784914634,10.0536907830779,10.6591094503023,10.770463656522,8.96893030153361,8.62110325004659,7.34980832121252,7.1205327836644,7.82979658900508,8.10380486035522,8.13249038090583,8.16298698026157,7.72868657197127,8.52964583240928
"ANKRD36BP2",6.81573589123852,6.91887798900206,7.07313382575351,7.2507417740525,6.82531984842301,6.34824290784073,7.35996944065271,6.78350081848859,8.29710553949957,7.74387175310238,6.46381013417394,6.56942123654668,3.39139425964253,3.45827416893817,5.69669693922487,6.45324422051151,6.41937578885547,6.3758654616488,4.09644007955176,5.18185979972017
"ANKRD63",7.13632661201377,7.35262981723296,7.54455889360231,7.53330028958119,6.29035019455502,6.62934666361497,7.33890340219224,7.010229764494,6.65528043856003,6.73420530548524,4.90753951109703,5.82814844655501,4.28876224390845,3.82971735186204,5.49927424706008,5.50618977841015,6.59991625898941,7.24692193841661,4.9719126290415,5.71111501792594
"ANKUB1",1.86157213442221,1.86157213442221,1.86157213442221,3.14830248930494,3.60878899762957,1.86157213442221,1.86157213442221,3.84565444469863,1.86157213442221,1.86157213442221,3.2219551540274,3.37698747078912,3.9912603637939,3.71797483403803,3.7600929031541,2.75080785178246,3.03322523226634,3.90530230775564,3.83817011612693,4.3239498151106
"ANO3",5.52967130192551,6.41346232285421,4.92074485986682,4.82864507766094,5.28560569461398,4.72542154211787,4.81870321269944,4.32090973308547,4.41153332609551,4.38005243543913,3.9727979075148,3.11662558371532,3.83963272279819,3.45827416893817,3.5090326432312,3.46744292126905,4.26597342550583,3.5714863399811,2.72038853136746,2.46219854850067
"ANO6",9.8254129908475,9.97944484431596,9.9004887536041,9.72983807444599,9.95067598648067,10.1243717367227,9.40100717649953,9.44345486644356,9.48583213596408,9.39682517173083,9.59098197722694,9.76173113841902,10.4028829759011,10.337145861969,9.69194783161531,9.69718244303273,9.64771583579044,9.63534151122052,10.647524976509,10.6533415562977
"ANTXR2",10.0529382291787,9.96179184355421,10.0467687663252,9.92727661053942,9.81918410601382,9.88172356470401,9.13088050694913,9.08318017646666,8.53768645893899,8.21958399228554,9.97020572481366,9.7953987010734,10.2329279264371,10.1628005772042,10.084381259704,10.0424070473879,10.0725550056646,9.9824930555759,10.3246918797881,10.4216024074664
"ANXA1",6.51018785645011,5.41527985887575,6.87410009150073,6.65525321506567,5.73142102916483,6.38653665058398,7.13401851260743,6.28550068612181,6.09884112126184,5.71201772214035,5.73854077897953,5.58454084797351,9.26220725662413,9.12110313938289,7.9692569641647,8.40913645600686,6.13684628039379,5.76307550507,8.27122456026444,7.73882748566961
"ANXA2",7.59241705889323,7.52870118791255,7.70128864054503,7.5412964562534,7.06035430682474,7.94031317839406,8.26823476436652,7.8494573039392,8.60972006714166,8.53315563535436,8.1453112431522,7.83466208058594,8.90097105350236,9.05718506744977,8.7237490657276,8.84659684862306,7.24294996305348,8.07372252399515,8.54667449298325,8.72532237538613
"ANXA2P2",3.78437511717304,4.61991766844835,3.74668529794966,3.33254814535126,4.13268652235504,1.86157213442221,2.99941009711087,4.10461252065807,5.17676471559053,3.89670317987127,4.51864410870397,5.05412289457496,4.79263487086535,5.35492375861003,5.11223569739108,4.61712285663746,1.86157213442221,4.8223902488905,5.25127968967302,4.06191720134487
"ANXA6",11.4327046726895,11.2660164271687,11.312147188283,11.3555548950468,11.4989010173327,11.3625251266297,11.3982997260743,11.463930714338,10.4621594555953,10.3377837221664,11.4246603091146,11.6139979024331,12.1357047811957,12.1244595486421,11.2443420607397,11.2122366212197,11.6315893642271,11.6648154708954,11.2777073420463,11.2420480634223
"AOPEP",6.63758293609915,6.6566345344896,7.06215713920795,7.01836171681675,6.70558992770447,7.06641469973959,7.30671550453052,7.72722785885962,7.22042539240098,6.93175259666226,8.54520627920757,8.45647690240832,7.18166975275912,7.41522335038338,7.0852337033813,7.36938372084374,7.0496058514903,7.44981162616934,7.36643318929713,7.33832322205297
"APCDD1",10.5916183570184,10.6326852457178,10.0015528680617,9.86971889733435,10.5124471471492,10.5840755684354,9.53664495902872,9.43789966753267,10.6578032000283,10.5410446391167,11.1849525639709,11.1618652426975,10.5467645909554,10.2964837364877,10.7277500362737,10.7481702067566,10.5648816608079,10.3969906713033,11.1626457051117,11.0514870495712
