"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C3orf18",1740.35458244802,0.519200009951477,0.0687762663231425,7.54911596264962,4.3822256251531e-14,3.28321691238842e-13
"TP73-AS1",1599.5207471427,-0.532380465859334,0.0705315914764993,-7.54811361426205,4.41607617744131e-14,3.3074693863819e-13
"MPP7",292.060984846804,-1.24384750959723,0.164791959650984,-7.54798663861759,4.42038260912017e-14,3.30958562583674e-13
"FBXL12",1027.03114061881,0.695416396791311,0.0921931812808904,7.54303503935443,4.59157718642091e-14,3.43316020539715e-13
"XBP1",1936.94990088695,0.50231648282282,0.0666182486771895,7.54022347925841,4.69166740192077e-14,3.50682524299422e-13
"RASGRP3",99.5275366772269,2.24541926614188,0.298377802568491,7.52542329493983,5.25497971263309e-14,3.92001140179028e-13
"PCP4",488.540398835072,0.896024031445043,0.119167289940127,7.51904345475365,5.51784450144225e-14,4.11335246039803e-13
"ANKRD34A",886.709243505488,0.70886801316186,0.0944049932485673,7.50879787995343,5.96727736833037e-14,4.44690503183779e-13
"BTBD7",1698.43079373435,-0.522930312777818,0.0696621710218783,-7.50666114918505,6.06544595102993e-14,4.51554468885969e-13
"CYP2S1",62.6452981194193,-2.8915161990452,0.385192095034289,-7.50668623868774,6.06428409443674e-14,4.51554468885969e-13
"CYTOR",329.746337323148,1.0950548028328,0.145898773871216,7.505579202464,6.11575799743928e-14,4.55148436512722e-13
"ATP6V0E1",748.229478965816,0.813922331781009,0.108489292911086,7.50232866249828,6.269393528279e-14,4.66116686505347e-13
"LINC02693",1738.12003014731,0.509883641391032,0.0679812540014584,7.50035651563728,6.3644490645773e-14,4.73026511952903e-13
"SLC6A9",530.512071395062,0.881746664020028,0.117612195805491,7.49706829280085,6.5260982101412e-14,4.84879550859194e-13
"KIRREL1",508.553044629421,-0.957277852230578,0.12771509186566,-7.49541685517883,6.60879874353849e-14,4.90860894381329e-13
"C16orf96",191.170899873032,1.5610832669167,0.208406796985295,7.49055831910725,6.85812439243659e-14,5.08365578927248e-13
"TLX3",475.266722418563,-0.993131839496095,0.132644523084337,-7.48716808205228,7.03755528906682e-14,5.21320262364449e-13
"AMOT",396.609135630429,-0.956490453436062,0.127866389363394,-7.48038994608454,7.41024016050931e-14,5.48200785657804e-13
"SAMM50",1076.88883762011,-0.703378908838341,0.0940423387001092,-7.47938554656047,7.46709104535585e-14,5.5222375172951e-13
"ZNF883",888.312424958549,0.730597310070887,0.0977323728195823,7.47548932859327,7.69171005943645e-14,5.6845908769294e-13
"RBM27",765.32532306989,-0.707786692050481,0.0946926509702355,-7.4745683513809,7.74576785833163e-14,5.72265011126789e-13
"MTAP",587.82341711064,0.883589558704646,0.118276121526875,7.47056588682503,7.98506766551231e-14,5.89554929820068e-13
"POLD2",1772.03779538371,0.525130883725222,0.0703191491790321,7.46782192128409,8.15330782869833e-14,6.01777664014461e-13
"LHX4",632.796581856847,-0.901203950125787,0.120756601800307,-7.46297872489069,8.45880098115242e-14,6.23913343656024e-13
"IRX3",223.278168035858,-1.41346770513661,0.189530229152417,-7.45774281737362,8.80172577022154e-14,6.48992970104524e-13
"GADD45B",76.8930917778075,2.41361586664287,0.323670465145126,7.45701609061137,8.85038990349639e-14,6.52365976099079e-13
"DUS1L",1598.4098859197,0.53516427737287,0.0718842298882361,7.44480782787727,9.70856397213141e-14,7.13973992145985e-13
