"GeneName","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CARD6",13.9642299013245,3.56889196101996,0.958735289336911,3.72249983985497,0.000197260034018497,0.000603841073375894
"RPSAP46",8.32514624392438,5.42226238507082,1.45869948339568,3.71718948747993,0.000201451351179382,0.000616361757366757
"TUBA3E",11.5262476330343,3.94376813090528,1.06141168182247,3.7155876446863,0.000202731975899561,0.00062020213756375
"H2AC8",29.6626469770985,2.06616982094141,0.556929795204788,3.70992868173207,0.000207317640506366,0.000633277212581586
"HEPACAM2",13.9963705661489,3.17099585083399,0.854744302307074,3.70987655872642,0.00020736032695981,0.000633328259042225
"CA3",15.1561906897028,2.90275058457922,0.78270996094435,3.70859032006825,0.000208416318994374,0.000636314386391289
"CWH43",5.75577920827696,5.88047120823746,1.58677857110644,3.70591796191014,0.000210626473385547,0.000642820712740818
"BEST3",12.1658012074302,3.98726229441684,1.0780116419423,3.6987191411336,0.000216690216394762,0.00066008756323552
"USP2-AS1",27.4995544736442,2.4796889971661,0.670988522754115,3.69557587511045,0.000219388947462077,0.000667891286929748
"MPO",8.38137433427058,5.43149332694527,1.47141383676495,3.69134310907866,0.0002230729784917,0.000678429008554899
"SLC39A5",13.5590522710126,3.10478190894907,0.841678106883044,3.68879965340538,0.000225314550895254,0.000684904548052372
"LSP1P5",18.7314924190734,2.59091308155461,0.702687405767866,3.68714888055147,0.000226780689044793,0.000689189425438134
"PNLDC1",16.1499702055132,3.0353709580595,0.823472444912108,3.68606257175184,0.000227750377133109,0.000691877609675985
"TRIM40",5.76603162300111,5.88278955885401,1.59617023881611,3.6855652459836,0.000228195609915233,0.000692884851924433
"LPAR3",24.0197312050748,-2.12443789802007,0.576432906417057,-3.68549032223884,0.000228262756446515,0.000693002431537658
"MMP13",17.8454549314015,2.77783438220782,0.754278894018165,3.68276827608135,0.000230714862631913,0.000699836996851369
"AQP4",17.1137664140906,-2.56873080469157,0.697525564865552,-3.68263320239265,0.000230837182812773,0.000700120934362611
"PTP4A2P1",26.1569158974933,2.23834236939705,0.608310832957475,3.67960300577702,0.000233597321664317,0.000707875950387694
"ARHGAP42P1",9.96663531326154,4.74678942872196,1.29146037872808,3.67552075689456,0.000237364739944585,0.000718667215861028
"DOC2GP",27.8978994962872,2.04644056287543,0.556807759516611,3.67530898752567,0.000237561724338746,0.000719085035732752
"TAC3",16.1317034225309,2.87762506936636,0.784546996475138,3.66788106040191,0.00024456889805189,0.000739102487890579
"FGL2",5.38109263749617,-5.97680167212514,1.6300009201145,-3.66674742226851,0.000245655222322469,0.000742109482178966
"LINC02814",22.4493114224209,-2.32698958393366,0.634811764877688,-3.66563714266073,0.000246723548946849,0.000745081017087871
"KRT18P40",8.29883128790616,5.41534406862297,1.478003672628,3.66395846567425,0.000248347074234253,0.000749591280512447
"RNFT1P3",5.75065300091489,5.87936051379319,1.60512729189378,3.66286246797071,0.000249412464860358,0.000752527498852276
"RARG",9.89776296560152,-4.93697881973462,1.34888792489899,-3.6600363370473,0.0002521794845117,0.000760029689909056
"DDX11L1",5.66326942005713,5.85924672459597,1.60239971333809,3.65654504043196,0.000255637510919799,0.000769880656033415
"RPL23AP15",10.9536123534267,4.2728876237687,1.16886617733966,3.65558325375945,0.000256597915420945,0.000772677581053906
"TMBIM7P",5.86354167066055,5.90835648077884,1.61706225981693,3.65375943004676,0.000258428416180463,0.000777901437445933
"COL9A2",19.037991668717,-2.63821608373448,0.722344182273721,-3.65229782211324,0.000259904205690628,0.000781861115749402
"TBX21",5.63095163840148,5.84810721213487,1.60264012258872,3.64904580242789,0.000263216175970234,0.000791141124569309
"AGK-DT",18.6493352873548,2.37905497747291,0.65225988890019,3.64740346288097,0.000264903789811348,0.000795821119169576
"GFI1",21.8823756893967,2.19845019308336,0.603003240545529,3.6458347903644,0.000266525172652474,0.000800366826461227
"NLRP12",8.1341563502782,5.38900119208158,1.47866617755054,3.64450156086525,0.000267910509769602,0.000804358336313561
"ZNF831",8.99621307751558,-4.7960069085696,1.3162526819096,-3.64368253488505,0.000268764890272288,0.000806724800519382
"LINC02556",12.9692902466891,3.03264521969773,0.83575736183231,3.62861921197915,0.000284941166273127,0.000852655316159964
