"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.71004121300614e-225,0.255462914502885,0.186,0.394,6.60178510693151e-221,0,"BAZ1B"
8.05950638609126e-225,0.236414966811692,0.172,0.375,3.11145303541439e-220,0,"VPS4A"
8.51603909696784e-225,0.211555384110806,0.153,0.345,3.2877020537754e-220,0,"SMU1"
1.41871049928645e-224,0.131785566414644,0.104,0.269,5.47707375354525e-220,0,"RAB5B"
3.87904712267908e-224,0.205428492701355,0.128,0.308,1.49754493218149e-219,0,"BABAM1"
7.04197804826403e-224,0.192921828834562,0.251,0.502,2.71862604531281e-219,0,"ZNHIT3"
1.55018841379446e-223,0.211350660747817,0.322,0.607,5.98465739029489e-219,0,"TAF7"
6.7478837559554e-223,0.199264765684825,0.164,0.362,2.60508800282414e-218,0,"WAPL"
1.13409010690931e-222,0.144252794751641,0.142,0.326,4.3782682667341e-218,0,"NTMT1"
8.73163790133938e-222,0.24990718305573,0.116,0.287,3.37093612819109e-217,0,"WDR6"
1.14262034558161e-221,0.226748295462099,0.191,0.404,4.41120010615236e-217,0,"BBIP1"
3.56311573522213e-221,0.275347263044546,0.071,0.216,1.37557646073986e-216,0,"TRAF3"
6.17101818448305e-221,0.190558183369686,0.17,0.37,2.38238328030153e-216,0,"SURF2"
1.20332049296092e-220,0.341244244794914,0.125,0.302,4.64553909512492e-216,0,"DNAJC10"
4.94344665249217e-220,0.301987185382696,0.397,0.729,1.90846701466113e-215,0,"SRSF5"
8.88637009942718e-220,0.241886393592257,0.081,0.231,3.43067204058486e-215,0,"ZNF358"
5.30703825399003e-219,0.16439691641378,0.159,0.352,2.04883518833539e-214,0,"SS18L2"
8.17144324145803e-219,0.439407834381636,0.208,0.428,3.15466737779729e-214,0,"AKAP8L"
8.96545284754819e-219,0.21804747690624,0.334,0.621,3.46120272632446e-214,0,"TAF1D"
2.42304394555022e-218,0.276426838632209,0.118,0.288,9.35440345619118e-214,0,"USF2"
4.02049954256096e-218,0.204022274652292,0.106,0.27,1.55215405340108e-213,0,"DCAKD"
5.39936313609258e-218,0.221760056670366,0.134,0.313,2.0844781323199e-213,0,"UBA5"
1.36439407547687e-217,0.155102936929248,0.166,0.36,5.26737976778601e-213,0,"ERVK3-1"
3.12875102480167e-217,0.365630778640585,0.146,0.331,1.20788562063493e-212,0,"PDXK"
4.16759645285822e-217,0.305457519234771,0.173,0.373,1.60894228659044e-212,0,"CACUL1"
5.97422483738833e-217,0.353317620234269,0.112,0.279,2.30640924072214e-212,0,"DVL3"
2.00076661671339e-216,0.400095710693015,0.324,0.605,7.72415960048373e-212,0,"RAB1A"
2.03049886130891e-216,0.34035307074077,0.15,0.336,7.8389439039692e-212,0,"USP7"
2.25342471646282e-216,0.424845016774014,0.141,0.324,8.69957146037637e-212,0,"STARD7"
2.68065984681423e-216,0.273256730553109,0.194,0.405,1.0348955404611e-211,0,"ZSCAN16-AS1"
1.17614295383252e-215,0.469922577182701,0.201,0.417,4.54061748756584e-211,0,"ANAPC5"
1.53878214273089e-215,0.717281643460128,0.071,0.214,5.94062234022688e-211,0,"DTX4"
6.20807094335136e-215,0.135761733439905,0.124,0.295,2.39668786839023e-210,0,"ADNP2"
3.13280605237735e-214,0.328328471136009,0.249,0.495,1.2094511045808e-209,0,"PSMD12"
1.68940093895364e-212,0.244905067907466,0.184,0.387,6.52210126492444e-208,0,"RARS1"
5.95263045172599e-212,0.297664669108145,0.106,0.268,2.29807251219334e-207,0,"KCTD20"
9.20792704039078e-212,0.287750476170685,0.202,0.414,3.55481231321327e-207,0,"ATM"
1.23054055420549e-209,0.115204864177362,0.046,0.17,4.75062486356572e-205,0,"RNF175"
1.65664837426113e-209,0.16576913239522,0.167,0.361,6.39565671367252e-205,0,"MRPS35"
6.7869326951449e-209,0.406257988932485,0.19,0.396,2.62016323628764e-204,0,"UBE2G2"
8.10031789606898e-209,0.473471482485197,0.16,0.35,3.12720872695639e-204,0,"EPN1"
1.77178607434704e-207,0.447786124221207,0.233,0.462,6.84015731862419e-203,0,"LRPPRC"
