"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TRIM592",4.38021405940494e-10,0.561139414529699,0.211,0.097,1.69102543977387e-05,"7","TRIM59"
"ADAM30",4.41047457299547e-10,3.10167228093227,0.017,0.002,1.70270781365063e-05,"7","ADAM30"
"CSE1L2",4.49254670536694e-10,0.121223745475395,0.512,0.304,1.73439258107396e-05,"7","CSE1L"
"SHLD22",4.50019293536664e-10,0.121438450855223,0.383,0.212,1.73734448462765e-05,"7","SHLD2"
"ITGA7",4.51300107385091e-10,0.589640805196947,0.122,0.045,1.74228919457088e-05,"7","ITGA7"
"LINC025801",4.55081963282214e-10,1.40772780865351,0.099,0.034,1.75688942744731e-05,"7","LINC02580"
"ENSG00000257989",4.55455336711543e-10,2.08023909742072,0.017,0.002,1.75833087290858e-05,"7","ENSG00000257989"
"ENSG000002728482",4.69005468126659e-10,1.03255407915429,0.046,0.01,1.81064251024978e-05,"7","ENSG00000272848"
"PKHD11",4.71730880185515e-10,0.285883966565544,0.063,0.016,1.8211642360442e-05,"7","PKHD1"
"PURPL2",4.78986356256585e-10,0.394824190641747,0.244,0.119,1.84917472696417e-05,"7","PURPL"
"UTP11",4.85560154523057e-10,0.235600068744613,0.584,0.364,1.87455353255171e-05,"7","UTP11"
"SPX1",4.88835167707986e-10,1.38156923943552,0.04,0.008,1.88719704845345e-05,"7","SPX"
"ZNF902",4.95726212939137e-10,0.676608956669721,0.145,0.058,1.91380061767283e-05,"7","ZNF90"
"DERL22",5.00522741944583e-10,0.185145979823711,0.465,0.264,1.93231809755126e-05,"7","DERL2"
"ARHGEF403",5.03481891023004e-10,0.117339692957302,0.254,0.124,1.94374218848341e-05,"7","ARHGEF40"
"DNMT13",5.11708707260943e-10,0.193844321544419,0.508,0.305,1.9755026352516e-05,"7","DNMT1"
"MZT2B3",5.17587296878557e-10,0.25352215784933,0.941,0.744,1.99819751832936e-05,"7","MZT2B"
"LINC008623",5.17795282623324e-10,0.77801890622653,0.076,0.022,1.99900046809561e-05,"7","LINC00862"
"TIMM132",5.20784974144907e-10,0.242202241271874,0.805,0.562,2.01054247118383e-05,"7","TIMM13"
"RBM443",5.26343543225012e-10,0.94754614762847,0.043,0.009,2.03200188297448e-05,"7","RBM44"
"MAN1B1",5.38146993947623e-10,0.190259713176156,0.264,0.131,2.07757028483419e-05,"7","MAN1B1"
"ENSG00000227482",5.38585273880639e-10,2.76690214746571,0.013,0.001,2.07926230834359e-05,"7","ENSG00000227482"
"ADGRG7",5.43650822520133e-10,2.1615918704934,0.013,0.001,2.09881836542122e-05,"7","ADGRG7"
"NFATC32",5.4468620915279e-10,0.275373783909128,0.389,0.217,2.10281557905526e-05,"7","NFATC3"
"ENSG00000287079",5.45867708517948e-10,2.76528679398175,0.013,0.001,2.10737687550439e-05,"7","ENSG00000287079"
"GALNT101",5.50914274528006e-10,0.616359790078504,0.234,0.115,2.12685964824282e-05,"7","GALNT10"
"PLB11",5.51493929386531e-10,0.654213782201762,0.05,0.011,2.12909746378964e-05,"7","PLB1"
"CENPO3",5.56489095447255e-10,0.421525213933911,0.241,0.116,2.14838180188367e-05,"7","CENPO"
"ENSG000002588201",5.67559423092739e-10,1.77872983740128,0.04,0.008,2.19111990879183e-05,"7","ENSG00000258820"
"EML33",5.7735306242207e-10,1.36098336774064,0.04,0.008,2.22892923278664e-05,"7","EML3"
"RCN33",5.79560945599314e-10,1.51593586519941,0.056,0.014,2.23745298658071e-05,"7","RCN3"
"MAML22",5.82879810949169e-10,0.547374612003005,0.531,0.336,2.25026579815036e-05,"7","MAML2"
"PDXP-DT1",5.87074519401866e-10,1.48142236849389,0.092,0.03,2.26645988960284e-05,"7","PDXP-DT"
"ENSG000002270422",5.97687894819924e-10,1.50502974957494,0.033,0.006,2.3074338867418e-05,"7","ENSG00000227042"
"ENSG000002657022",6.03908651897476e-10,2.02873275787516,0.033,0.006,2.3314497415154e-05,"7","ENSG00000265702"
"MSTN1",6.07919610203245e-10,1.91984455611545,0.086,0.027,2.34693444715065e-05,"7","MSTN"
"MRPS212",6.13058138299618e-10,0.225728559359731,0.868,0.644,2.36677224871951e-05,"7","MRPS21"
"ZGPAT1",6.13103381238518e-10,0.372373587010924,0.218,0.102,2.36694691360942e-05,"7","ZGPAT"
"FBXL221",6.18152411406475e-10,1.11055874149739,0.102,0.035,2.38643919947584e-05,"7","FBXL22"
"CYB5R11",6.26578508502184e-10,0.73102100661837,0.241,0.121,2.41896898992353e-05,"7","CYB5R1"
"ENSG00000255229",6.27515648185005e-10,2.25337158964439,0.036,0.007,2.42258691138303e-05,"7","ENSG00000255229"
"ENSG000002339671",6.31086619981976e-10,1.0772581024633,0.056,0.014,2.43637300510242e-05,"7","ENSG00000233967"
"LINC013761",6.39306216897141e-10,0.291089984103306,0.241,0.118,2.4681055809531e-05,"7","LINC01376"
"LINC02982",6.41289163089372e-10,3.40589614844396,0.01,0.001,2.47576094302283e-05,"7","LINC02982"
"SH3BGRL32",6.4147988175266e-10,0.367374195484515,0.756,0.529,2.47649723149432e-05,"7","SH3BGRL3"
"SBK2",6.48089849703325e-10,3.29342910712713,0.01,0.001,2.50201567376466e-05,"7","SBK2"
"CORO71",6.56827709470616e-10,0.342680425492558,0.228,0.109,2.53574905518226e-05,"7","CORO7"
"ITPR2-AS11",6.72608274434847e-10,2.6150029405898,0.023,0.003,2.59667150428317e-05,"7","ITPR2-AS1"
"PCBD23",6.74589791315316e-10,0.16804477404907,0.33,0.173,2.60432134835191e-05,"7","PCBD2"
"FGFR13",6.74641635881246e-10,0.200206010057836,0.541,0.321,2.60452149948314e-05,"7","FGFR1"
"LINC017032",6.87679145612702e-10,1.21219891157749,0.063,0.017,2.6548541095524e-05,"7","LINC01703"
"MAN1A12",6.87763582063131e-10,0.95584376586522,0.162,0.07,2.65518008491292e-05,"7","MAN1A1"
"SGSM3-AS12",6.95061894705731e-10,0.16004547941723,0.281,0.141,2.68335595070094e-05,"7","SGSM3-AS1"
"ENSG00000267686",7.17227849724562e-10,1.50681847253901,0.023,0.003,2.76892983664664e-05,"7","ENSG00000267686"
"ZAN2",7.19596286658787e-10,1.38799567427264,0.046,0.01,2.77807342427491e-05,"7","ZAN"
"BMP62",7.34438267763446e-10,0.741032982623726,0.046,0.01,2.83537237652756e-05,"7","BMP6"
"PLEKHH31",7.87710679765283e-10,0.543724931424707,0.195,0.089,3.04103585030185e-05,"7","PLEKHH3"
"RASSF52",7.89851683232102e-10,1.16576163070123,0.063,0.017,3.04930140828585e-05,"7","RASSF5"
"C9orf642",8.02916666462241e-10,1.42871122063242,0.053,0.013,3.09974008254413e-05,"7","C9orf64"
"CD362",8.1152284759532e-10,1.25505791057843,0.066,0.018,3.13296510542649e-05,"7","CD36"
"CYB5RL3",8.15905121481859e-10,0.452273116107255,0.125,0.047,3.14988331199286e-05,"7","CYB5RL"
"ADARB13",8.26908324616336e-10,0.323145587450306,0.241,0.117,3.19236227801383e-05,"7","ADARB1"
"IRF13",8.29283740722517e-10,0.65742101568265,0.149,0.061,3.20153280943335e-05,"7","IRF1"
"THSD13",8.40237361385161e-10,0.957146950398324,0.096,0.032,3.24382035736355e-05,"7","THSD1"
"C21orf912",8.43324124585484e-10,0.460244855293935,0.185,0.082,3.25573711537472e-05,"7","C21orf91"
"ENSG00000230490",8.47603069456287e-10,0.958881084930176,0.129,0.05,3.27225640994294e-05,"7","ENSG00000230490"
"SARDH2",8.63595274425921e-10,1.75053207987822,0.04,0.008,3.33399591644871e-05,"7","SARDH"
"DOCK53",8.81321263017993e-10,0.365505543931563,0.155,0.064,3.40242886800726e-05,"7","DOCK5"
"ISYNA12",8.86821838529675e-10,0.413047428532092,0.403,0.232,3.42366438982766e-05,"7","ISYNA1"
"PLEKHO23",8.8902901641347e-10,1.2901928812389,0.059,0.015,3.43218542076584e-05,"7","PLEKHO2"
"RHOG3",8.96666124729036e-10,0.600928105771325,0.162,0.069,3.46166924112892e-05,"7","RHOG"
"GPAT31",9.17191705207834e-10,0.879791790030795,0.036,0.007,3.54091029712537e-05,"7","GPAT3"
"IQGAP12",9.17317672771823e-10,0.373631411022929,0.383,0.221,3.5413966075029e-05,"7","IQGAP1"
"ALDH1B14",9.2159684800539e-10,0.655101567965636,0.086,0.027,3.55791679140961e-05,"7","ALDH1B1"
"PKMYT12",9.22938538094345e-10,1.03349040872524,0.086,0.027,3.56309652016703e-05,"7","PKMYT1"
"TMEM2162",9.25680871121048e-10,0.456255185714196,0.139,0.055,3.57368357104992e-05,"7","TMEM216"
"NT5DC22",9.30150994466216e-10,0.275156331603991,0.439,0.258,3.59094092923627e-05,"7","NT5DC2"
"LINC005622",1.00774804835796e-09,1.08949032343015,0.05,0.011,3.89051211549072e-05,"7","LINC00562"
"SLX93",1.01288014365331e-09,0.573445808144406,0.251,0.125,3.91032508258796e-05,"7","SLX9"
"MIR133A1HG2",1.0158884737296e-09,1.30600063152333,0.135,0.054,3.9219390416805e-05,"7","MIR133A1HG"
"HCCS3",1.03284503683205e-09,0.534268559506765,0.195,0.089,3.9874015491938e-05,"7","HCCS"
"PLEKHH22",1.04117756678461e-09,0.876619887092212,0.086,0.027,4.01957011432868e-05,"7","PLEKHH2"
"ARHGAP313",1.04212603740949e-09,0.675187075614105,0.165,0.071,4.02323178002306e-05,"7","ARHGAP31"
"FKRP3",1.04789157541815e-09,0.361527986707783,0.228,0.111,4.04549021605929e-05,"7","FKRP"
"DCAF62",1.04941478510221e-09,0.142414776402322,0.403,0.23,4.05137071936558e-05,"7","DCAF6"
"GMPPA2",1.05520278570206e-09,0.655918309182756,0.135,0.053,4.07371587448137e-05,"7","GMPPA"
"RINL1",1.0635464573479e-09,1.5404163122861,0.043,0.009,4.10592745323731e-05,"7","RINL"
"ENSG000002334201",1.06923330846221e-09,1.27141230903774,0.069,0.02,4.12788211064921e-05,"7","ENSG00000233420"
"B4GALNT33",1.08790427289339e-09,0.797407451796095,0.112,0.041,4.19996323593221e-05,"7","B4GALNT3"
"GASK1B-AS1",1.0895234577874e-09,2.43061682846196,0.02,0.002,4.20621426113402e-05,"7","GASK1B-AS1"
"ENSG000002722112",1.11503173197578e-09,1.4394154065541,0.036,0.007,4.30469150446571e-05,"7","ENSG00000272211"
"TTC123",1.1396836928092e-09,0.694623483468634,0.132,0.052,4.39986286445919e-05,"7","TTC12"
