"module","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj"
"MEgreen",0.14278735969206,0.0713936798460301,-0.07139367984603,1.11495337827759,0.301526178504047,7.03064765602022,-0.159772662382702,0.445347381766822,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEgreenyellow",0.156669624259165,0.0783348121295826,-0.0783348121295825,1.23458001242138,0.256797598067768,7.00396332992933,-0.143369495751209,0.456708744269539,"Welch Two Sample t-test","two.sided",0.482441885606475
"MElightgreen",0.162017624825877,0.0810088124129386,-0.0810088124129384,1.28157632597073,0.240535608625354,7.04877746182378,-0.136500708761195,0.460535958412949,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEmagenta",0.147776992201111,0.0738884961005557,-0.0738884961005557,1.15757521816347,0.275575162458281,9.40982414232501,-0.139105883655181,0.434659868057404,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEpurple",0.156415214891479,0.0782076074457399,-0.0782076074457394,1.23235755574916,0.257326795048696,7.05017183699404,-0.143278899188148,0.456109328971107,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEsalmon",0.148294724468614,0.0741473622343071,-0.0741473622343071,1.1620211537693,0.280913605463559,7.48995167399231,-0.149517781517557,0.446107230454786,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEsienna3",-0.15249117025808,-0.0762455851290401,0.0762455851290402,-1.19822526801778,0.269304027444559,7.09771572049742,-0.452585338519597,0.147602998003437,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEskyblue",-0.143791272119807,-0.0718956360599036,0.0718956360599036,-1.12349649850737,0.297291417410132,7.19897759549421,-0.444741441817632,0.157158897578017,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEsteelblue",-0.165979474231143,-0.0829897371155716,0.0829897371155715,-1.31674416534642,0.229047874374311,7.06134358247588,-0.463523202023644,0.131564253561358,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEturquoise",-0.200691567417372,-0.100345783708686,0.100345783708686,-1.63972198982733,0.123749056184736,13.7393127323318,-0.463667898504521,0.0622847636697776,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEyellow",0.163289295152267,0.0816446475761332,-0.0816446475761334,1.29283105630978,0.236961853049759,7.02498313299052,-0.135156225111749,0.461734815416283,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEyellowgreen",-0.145690040564468,-0.072845020282234,0.0728450202822339,-1.13969897605262,0.291094190982694,7.16103941955802,-0.446592213317434,0.155212132188498,"Welch Two Sample t-test","two.sided",0.482441885606475
"MEorangered4",-0.136187354830432,-0.0680936774152159,0.0680936774152159,-1.05917907233959,0.324574224382312,7.02453370171832,-0.44001139137986,0.167636681718997,"Welch Two Sample t-test","two.sided",0.486861336573468
"MEpaleturquoise",0.135586464922746,0.0677932324613729,-0.067793232461373,1.05413391413969,0.317391334612332,9.69188152785663,-0.152244518389775,0.423417448235267,"Welch Two Sample t-test","two.sided",0.486861336573468
"MEwhite",-0.132814429367813,-0.0664072146839068,0.0664072146839063,-1.03092788956887,0.336279693957804,7.12815149763852,-0.436342212207627,0.170713353472001,"Welch Two Sample t-test","two.sided",0.489134100302261
"MEbisque4",-0.125839408866608,-0.0629197044333039,0.062919704433304,-0.973016516592438,0.356749343518675,8.7239473090699,-0.419819580931297,0.168140763198081,"Welch Two Sample t-test","two.sided",0.489256242539897
"MEmediumpurple3",-0.129841610333239,-0.0649208051666195,0.0649208051666196,-1.00616322043248,0.347625022741914,7.04778063812173,-0.434568677708394,0.174885457041916,"Welch Two Sample t-test","two.sided",0.489256242539897
"MElightcyan",0.122552898794688,0.061276449397344,-0.0612764493973439,0.945957073618146,0.374786008769267,7.21012673373724,-0.181993969083544,0.42709976667292,"Welch Two Sample t-test","two.sided",0.499714678359023
"MEdarkgrey",-0.113981169244552,-0.0569905846222762,0.0569905846222762,-0.876022688591972,0.408713002576605,7.35555861896002,-0.418658096700609,0.190695758211504,"Welch Two Sample t-test","two.sided",0.530222273612894
"MEmidnightblue",0.0652462607720399,0.0326231303860199,-0.03262313038602,0.492469267259307,0.636746448861005,7.35591134053224,-0.244991258909717,0.375483780453797,"Welch Two Sample t-test","two.sided",0.804311303824427
"MElightcyan1",0.058449685000169,0.0292248425000845,-0.0292248425000846,0.440416993826067,0.666360040444124,13.9976726130083,-0.226198872130914,0.343098242131252,"Welch Two Sample t-test","two.sided",0.820135434392768
"MEgrey",0.0485943501621242,0.0242971750810621,-0.0242971750810621,0.365376520882748,0.720305071794044,13.9648521830381,-0.236725380818383,0.333914081142632,"Welch Two Sample t-test","two.sided",0.864366086152852
"MEred",-0.0406406161449698,-0.020320308072485,0.0203203080724849,-0.305136155707409,0.765002038930031,13.2526322512438,-0.327820221477754,0.246538989187815,"Welch Two Sample t-test","two.sided",0.878203964642717
"MEviolet",0.0400034502000441,0.020001725100022,-0.0200017251000221,0.300321146455218,0.768428469062378,13.7387539236185,-0.246197443722353,0.326204344122441,"Welch Two Sample t-test","two.sided",0.878203964642717
"MElightsteelblue1",-0.0240198730116615,-0.0120099365058308,0.0120099365058308,-0.179956043337394,0.860150243477277,12.1638348929343,-0.314405978160057,0.266366232136734,"Welch Two Sample t-test","two.sided",0.926663033019997
"MEsaddlebrown",-0.0225675862043152,-0.0112837931021576,0.0112837931021575,-0.169052634677425,0.868746593456247,11.2881242288881,-0.315474447515787,0.270339275107157,"Welch Two Sample t-test","two.sided",0.926663033019997
"MEskyblue3",0.0287397753408111,0.0143698876704056,-0.0143698876704055,0.215424950936138,0.833830357795754,9.85174532558669,-0.269122993934826,0.326602544616448,"Welch Two Sample t-test","two.sided",0.926663033019997
"MEroyalblue",0.0145330696510594,0.00726653482552972,-0.00726653482552965,0.108801504492305,0.915009273001792,13.0966546635263,-0.273820022319234,0.302886161621353,"Welch Two Sample t-test","two.sided",0.954792284871435
"MEgrey60",0.00877802095203746,0.0043890104760187,-0.00438901047601876,0.0656988193210574,0.948728345509674,11.6839819030978,-0.283208888665633,0.300764930569707,"Welch Two Sample t-test","two.sided",0.968914054988603
"MElightyellow",0.0028904725444949,0.00144523627224741,-0.00144523627224748,0.0216306773391032,0.983109561275068,11.6197272903997,-0.28932107551473,0.29510202060372,"Welch Two Sample t-test","two.sided",0.983109561275068
