"gene","module"
"LINC01506","black"
"LINC01520","black"
"LINC01524","black"
"LINC01546","black"
"LINC01550","black"
"LINC01582","black"
"LINC01606","black"
"LINC01608","black"
"LINC01618","black"
"LINC01620","black"
"LINC01622","black"
"LINC01634","black"
"LINC01654","black"
"LINC01672","black"
"LINC01685","black"
"LINC01722","black"
"LINC01726","black"
"LINC01762","black"
"LINC01780","black"
"LINC01790","black"
"LINC01791","black"
"LINC01804","black"
"LINC01811","black"
"LINC01821","black"
"LINC01825","black"
"LINC01827","black"
"LINC01828","black"
"LINC01837","black"
"LINC01858","black"
"LINC01859","black"
"LINC01863","black"
"LINC01873","black"
"LINC01883","black"
"LINC01902","black"
"LINC01919","black"
"LINC01931","black"
"LINC01936","black"
"LINC01945","black"
"LINC01962","black"
"LINC01968","black"
"LINC01970","black"
"LINC02006","black"
"LINC02023","black"
"LINC02025","black"
"LINC02031","black"
"LINC02055","black"
"LINC02058","black"
"LINC02064","black"
"LINC02086","black"
"LINC02099","black"
"LINC02119","black"
"LINC02123","black"
"LINC02134","black"
"LINC02177","black"
"LINC02180","black"
"LINC02181","black"
"LINC02183","black"
"LINC02208","black"
"LINC02221","black"
"LINC02225","black"
"LINC02240","black"
"LINC02264","black"
"LINC02288","black"
"LINC02303","black"
"LINC02320","black"
"LINC02345","black"
"LINC02355","black"
"LINC02359","black"
"LINC02397","black"
"LINC02406","black"
"LINC02416","black"
"LINC02435","black"
"LINC02484","black"
"LINC02532","black"
"LINC02541","black"
"LINC02613","black"
"LINC02627","black"
"LINC02649","black"
"LINC02655","black"
"LINC02671","black"
"LINC02676","black"
"LINC02687","black"
"LINC02699","black"
"LINC02709","black"
"LINC02741","black"
"LINC02778","black"
"LINC02790","black"
"LINC02805","black"
"LINC02812","black"
"LINC02848","black"
"LINC02857","black"
"LINC02895","black"
"LINC02896","black"
"LINC02903","black"
"LINC02915","black"
"LINC02923","black"
"LLPHP1","black"
"LMO1","black"
"LMO7DN","black"
"LRRC8C-DT","black"
"LRWD1","black"
"LSM14B","black"
"LUADT1","black"
"LUCAT1","black"
"LURAP1L-AS1","black"
"LY86-AS1","black"
"MACC1","black"
"MAGEF1","black"
"MAGOH3P","black"
"MAIP1","black"
"MALL","black"
"MALRD1","black"
"MAP3K19","black"
"MAP3K20-AS1","black"
"MAP3K7CL","black"
"MAPK12","black"
"MAS1","black"
"MCHR2","black"
"MCOLN3","black"
"MCTP2","black"
"MCUB","black"
"MDS2","black"
"MED4-AS1","black"
"MEF2C-AS1","black"
"MEF2C-AS2","black"
"MEFV","black"
"MEIS1-AS3","black"
"METTL25B","black"
"MFSD4BP1","black"
"MGAM","black"
"MGAT2","black"
"MIB2","black"
"MICU1","black"
"MIF4GD","black"
"MIR1-1HG","black"
"MIR31HG","black"
"MIR3659HG","black"
"MIR3663HG","black"
"MIR3945HG","black"
"MIR3976HG","black"
"MIR4527HG","black"
"MIR4740","black"
"MIR4752","black"
"MIR526B","black"
"MIR5586","black"
"MIR7157","black"
"MKRN9P","black"
"MLC1","black"
"MLIP-AS1","black"
"MLLT10P2","black"
"MNDA","black"
"MOGAT3","black"
"MPRIP-AS1","black"
"MR1","black"
"MRGPRX13P","black"
"MROH2B","black"
"MRPL35P4","black"
"MRPL48","black"
"MRPL50P2","black"
"MRPS17P1","black"
"MTATP8P1","black"
"MTATP8P2","black"
"MTCO1P49","black"
"MTFMT","black"
"MTHFD2P7","black"
"MTND2P8","black"
"MTND4P18","black"
"MTND6P29","black"
"MTND6P3","black"
"MTO1","black"
"MTTP","black"
"MX2","black"
"MYMK","black"
"MYO1D-DT","black"
"NANOG","black"
"NANOGP11","black"
"NAP1L4","black"
"NBPF13P","black"
"NCKAP5","black"
"NDUFA4P1","black"
"NDUFB4P11","black"
"NEK4P2","black"
"NF1P2","black"
"NFE2","black"
"NFKBIB","black"
"NFKBIE","black"
"NIFKP1","black"
"NKX2-5","black"
"NKX6-1","black"
"NKX6-2","black"
"NLRP12","black"
"NLRP13","black"
"NLRP9","black"
"NMB","black"
"NMBR","black"
"NOL8P1","black"
"NPC2","black"
"NPM1P30","black"
"NPM1P31","black"
"NR2F2","black"
"NTRK3-AS1","black"
"NUDT6","black"
"NUDT8","black"
"OLAH","black"
"OLR1","black"
"OOSP4A","black"
"OPN1SW","black"
"OPRK1","black"
"OR10D3","black"
"OR11G2","black"
"OR11H5P","black"
"OR1D2","black"
"OR1L8","black"
"OR2A1-AS1","black"
"OR2A15P","black"
"OR2AG1","black"
"OR2G6","black"
"OR2V2","black"
"OR4K13","black"
"OR51E2","black"
"OR52A1","black"
"OR52K1","black"
"OR52K3P","black"
"OR55B1P","black"
"OR5AS1","black"
"OR7A17","black"
"OR7D4","black"
"OR7E21P","black"
"OR7E24","black"
"OR7E25P","black"
"OR7E33P","black"
"OR7E66P","black"
"OR7G15P","black"
"OR7K1P","black"
"OR8A3P","black"
"OR8B9P","black"
"OR9H1P","black"
"OR9M1P","black"
"OR9N1P","black"
"OSER1-DT","black"
"OVAAL","black"
"P2RX7","black"
"P4HA3-AS1","black"
"PA2G4P1","black"
"PA2G4P3","black"
"PA2G4P5","black"
"PAGE3","black"
"PAH","black"
"PAPOLA-DT","black"
"PCAT1","black"
"PCAT5","black"
"PCNPP3","black"
"PCNX4-DT","black"
"PDE3A","black"
"PDE6G","black"
"PDX1","black"
"PDZD3","black"
"PEX10","black"
"PGRMC2","black"
"PHLDA3","black"
"PIK3CG","black"
"PITX2","black"
"PKD1L1","black"
"PLA2G2D","black"
"PLAC8","black"
